ID,SourceText,TranslatedText
1,,Legion und Legion Kommandant
2,,"Ihr Feedback ist auf Github sehr willkommen https://github.com/Seicing/aoe4legion \r\nDerzeit unterstützte Sprachen: vereinfachtes Chinesisch, traditionelles Chinesisch, Englisch, Deutsch \r\n\r\n[Allgemein] \r\nDas Stadtzentrum kann Dorfbewohner automatisch mit Umschaltfunktion produzieren. \r\nStellen Sie eine Legion oder einen Legionskommandanten ein und erforschen Sie die Kronentechnologie in der Festung. (Posthaus für Mongolen) \r\nDie Kosten fü rdie Festung und dem Steinmauerturm werden von 900/300 auf 650/175 reduziert. \r\nAlle Zivilisationen können berittene Bogenschützen auf dem Schießstand oder in der Legion ausbilden. \r\nHandkanonenschützen kämpfen mit Arkebusen, wenn Serpentinenpulver erforscht wurde. \r\n Grabt mit dem Legionskommandanten im Kaiserzeitalter die Ruinen des Imperiums aus, um ein stabiles Steineinkommen zu erzielen (außer Mongolen).\r\n\r\n[Chinesisch] \r\n- Kronentechnologie: Kriegerkodex \r\n- Zusätzliche Einheit: Raketenwerfer (Festung) \r\n- Bienennest und die Waffe der Feuerlanze-Serie passt die Schadenszusammensetzung an. \r\n- Für den Kaiserlichnr Beamten, ist keine Bevölkerung erforderlich. \r\n- Pyrotechnik wird auf alle Schießpulvereinheiten angewendet. \r\n- Wahrzeichen (außer dem astronomischen Uhrturm) können den Einflussbereich der Kaiserlichen Akademie erweitern. \r\n- Der Kaiserpalast kann die Legion der Verbotenen Armee produzieren. \r\n[Frankreich] \r\n- Kronen-Technologie: Verheerender Angriff \r\n- Effizienz der königlichen Blutlinien auf 55 % erhöht. \r\n- Abklingzeit der Kanonenfähigkeit auf 40 s reduziert. \r\n- Effizienz der Technologie der Handelsgilden +100 %. \r\n- Ritterlichkeit gilt für die gesamte Kavallerie. \r\n[Englisch] \r\n- Kronen-Technologie: Bögen aus gealterter Eibe. \r\n- Effizienz der Technologie der Gehege +100 %. \r\n- Panzerungstechnologie wird auch auf Speerkämpfer angewendet \r\n- Wynguard-Palast produziert 4 zusätzliche Legionen und alle 8 Legionen wurden reduziert. \r\n[Heiliges Römisches Reich] \r\n- Kronentechnologie: Doppeltes Gehalt. \r\n- Zusätzliche Einheit: Hellebarde (ersetzt Speerkämpfer) \r\n- Mönche können im Feudalzeitalter Reliquien aufsammeln. \r\n- Erforsche Maximilian-Plattentechnologie in der Kaserne, um 2 Rüstungen für Landsknechte und Soldaten zu erhöhen. \r\n- Kann Legionen im Burggrafenpalast produzieren. \r\n- Einkommensrate der Regnitz-Kathedrale steigt auf 200 %, nachdem Reliquientechnologie erforscht wurde. \r\n[Osmanen] \r\n- Kronen-Technologie: Highgate-Wächter. \r\n- Produziert Dorfbewohner und Dorfbewohner können Ressourcen im Kaiserpalast von Istanbul abladen. Die Bauzeit wird auf 160 Sek. reduziert. \r\n- Festung kann Einflussbereich erweitern. \r\n[Abbasiden-Dynastie] \r\n- Kronen-Technologie: Bohren. \r\n- Zusätzliche Einheit: Mamluk (Festung) \r\n- Zusätzliche Einheit: Rekrut (Außenposten) \r\n- Zusätzliche Einheit: Zamburakchi (Festung) \r\n- Kamelreiter-Rosette auf Kamelbogenschützen. \r\n- Erhöht die Reichweite der Einflusserweiterung von Festung und Außenposten auf 5. \r\n[Rus] \r\n- Kronen-Technologie: Für die Union! \r\n- Von Dorfbewohnern gesammelte Nahrung muss nicht im Lager abgeladen werden. \r\n- Strelizen können die Fähigkeit „Schnelles Marschieren“ auslösen. \r\n- Der Standard-Pfeilplatz im Spasskaja-Turm wird durch den Kanonenplatz ersetzt und bietet eine einzigartige Heldeneinheit. \r\n- Erforsche Technologie im Stadtzentrum, um die befestigte Palisadenmauer zu verstärken. \r\n[Sultanat Delhi] \r\n- Kronen-Technologie: Schießpulver-Imperium \r\n- Zusätzliche Einheit: Phalangit (Festung) \r\n- Zusätzliche Einheit: Devastator (Festung) \r\n- Die Hisar-Akademie arbeiten schneller. \r\n- Palast des Sultans bietet Devastator-Training für Keep. \r\n- Gelehrter, keine Bevölkerung erforderlich, aber maximal 25 Ausbildungsplätze.\r\n- Ruinen des Imperiums mit Phalangiten statt mit Legionskommandanten ausgegraben..\r\n[Mongolen] \r\n- Kronen-Technologie: Logistik \r\n- Zusätzliche Einheit: Tarkan (Stall) \r\n- Palisadenmauer und Tor können nach dem Feudalzeitalter gebaut werden. \r\n- Keshik erhält +10 Bonusschaden gegen Kavallerie. \r\n- Posthaus kann für Produkte aller Einheiten und Legionen gebaut werden. \r\n[Malier] \r\n- Kronentechnologie: Ton-Tigui-System \r\n- Zusätzliche Einheit: Versorgungskarren \r\n- Dorfbewohner können Ressourcen am Grand Fulani Corral abliefern. In diesem Gebäude können Rinder und Versorgungskarren trainiert werden.\r\n[Byzantiner] \r\n- Kronentechnologie: Hochofen \r\n- Zusätzliche Einheit: Flammenwerfer (Bogenschießstand) \r\n- Schadensreduzierungsrate der Schildmauer von Limitanei auf 50 % erhöht. \r\n- Warägergarde erhält Regeneration und kann Kasernen und Söldnerhäuser bauen. \r\n- Kataphrakt erhält normale Angriffsfähigkeit. \r\n- Palatine School kann Legion sofort mit Olivenöl anheuern. \r\n- Golden Horn Tower bietet neue Einheiten für Bogenschießanlagen im Kaiserzeitalter \r\n[Japanisch] \r\n- Kronentechnologie: Shogunat \r\n- Zusätzliche Einheit: Sohei (Tempel der Gleichheit und Buddhistischer Tempel) \r\n- Technologiekosten für Stadtzentrumsaufrüstung werden auf 175/400/625 reduziert. \r\n- Raketenwaffe passt Schadenszusammensetzung an. Castle of the Crow erhielt zusätzliche Garnisonsraketenwaffe. \r\n[Zhu Xis Vermächtnis] \r\n- Kronentechnologie: Kriegerkodex \r\n- Zusätzliche Einheit: Schrotflintenschütze (Festung) \r\n- Kaiserlicher Beamter, keine Bevölkerungszahl erforderlich. \r\n- Bienennest und Feuerlanzen-Waffe passen Schadenszusammensetzung an. \r\n- Technologielimit kann für Zhu Xis Bibliothek auf 4 erforscht werden. \r\n- Der Sekundärpfeil des Armbrustschützen mit 10.000 Bolzen hat vollen Schadensfaktor. \r\n[Orden des Drachen] \r\n- Kronentechnologie : Disziplin/Aufstand \r\n- Die vergoldeten Einheiten des Imperiums machen nur 1.5 der Bevölkerung aus. \r\n- Die vergoldeten Dorfbewohner müssen für alle Ressourcen kein fallenlassen mehr durchführen. \r\n- Im Burggrafenpalast können nun Legionäre ausgebildet werden. \r\n- Die Einkommensrate der Regnitz-Kathedrale steigt nach der Erforschung der Reliquientechnologie auf 200%. \r\n[Ayyubids] \r\n- Kronen-Technologie: Bohren \r\n- Zusätzliche Einheit: Mamluk (Festung) \r\n- Zusätzliche Einheit: Rekrut (Außenposten) \r\n- Schaden durch Mangonel-Flammengeschosse von 2 auf 3 erhöht. \r\n- Reichweite der Einflusserweiterung von Festung und Außenposten auf 5 erhöht. \r\n[Jeanne d'Arc] \r\n- Kronen-Technologie: Verheerender Angriff \r\n- Effizienz der königlichen Blutlinien auf 55 % erhöht \r\n- Effizienz der Technologie der Handelsgilden +100 %. \r\n- Abklingzeit der Kanonenfähigkeit auf 40 s reduziert. \r\n- Ritterlichkeit gilt für die gesamte Kavallerie. \r\n- Stärke des Himmels gilt für Belagerungseinheiten. \r\n[Haus Lancaster] \r\n- Kronen-Technologie: Bögen aus gealterter Eibe. \r\n- Erforschen Sie Technologien in der Abtei der Könige, um die Ausbildung zum Lancaster Lord in der Festung freizuschalten\r\n[Templerorden] \r\n- Kronen-Technologie: Verheerender Angriff.\r\n- Die Bewegungsgeschwindigkeit des Deutschordensritter wurde von 0,9 auf 1 erhöht.\r\n- Angriffsreichweite schwerer Speerkämpfer auf 0,67 erhöht"
3,,Erhöht die Reichweite von Schießpulvereinheiten um +%1%.
14,,Kamelharnisch
15,,Erhöht die Panzerung von Kameleinheiten um +%1%.
42,,For the Union!
43,,Erhöht die Rüstung der Rus Infanterie und des Kavallerie-Bogenschützen um +%1%.
44,,For the Union!
45,,Nahkampf-Infanterie-Technologie
46,,Erhöht die Rüstung von Waffenknechten und Speerkämpfern um +%1%.
