ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,Mod name,,,Legion and Legion Commander
2,,,Mod description,,,"Welcome to feedback in https://github.com/Seicing/aoe4legion \r\nCurrently supported languages: Simplified Chinese, Traditional Chinese, English, German\r\n\r\n[General]\r\nTown Center can product villager automatically with toggle ability.\r\nHire Legion or Legion Commander and Research Crown Technology at the Keep.(Posthouse for Mongols) \r\nCaptial Town Center Provide stone resources when Empire Rising Technology researched.\r\nKeep and Stone Wall Tower Cost reduce to 650/175 from 900/300.\r\nAll Civs can trains Cavalry Archer at Archery Range or Legion.\r\nHandcannoneer fights with arquebus when serpentine powder researched.\r\nResearch Conscription Technology in Keeps to increasing the health of man-at-arms and spearmen by 30.\r\n\r\n[Chinese] \r\n- Crown Technology : Warrior Code\r\n- Extra Unit : Rocket Launcher (Keep)\r\n- Nest of bees and Firelance series weapon adjusts damage composition.  \r\n- Imperial Official no population required.\r\n- Pyrotechnics applied to all Gunpowder Units.\r\n- Landmarks(except Astronomical Clocktower) can expand the influence area of Imperial Academy.\r\n- Imperial Palace can Produces Forbidden Army Legion.\r\n[France]\r\n- Crown Technology : Devastating Charge\r\n- Royal bloodlines efficiency increased to 55%\r\n- Cannon Ability Cooldown reduce to 40s.\r\n- Merchant Guilds Technology efficiency +100%. \r\n- Chivalry applicable to all cavalry. \r\n[English] \r\n- Crown Technology : Aged Yew Bows.\r\n- Enclosures Technology efficiency +100%.\r\n- Villagers can drop off Resource at Abbey of Kings. \r\n- Abbey of Kings provides king Production for keeps.\r\n- King 2hp/s regeneration rate, No population. Provided Mobile Network of Citadels Aura. \r\n- Armor Clad Technology also applied to Spearmen.\r\n- The King's Palace Produce Cost -50%.\r\n- Wynguard Palace produce 4 additional Legions and all 8 Legions have been discounted.\r\n[Holy Roman Empire] \r\n- Crown Technology : Double Salary.\r\n- Extra Unit : Halberdier (Replace spearmen)\r\n- Monks can pick up Relic in feudal age. \r\n- Research Maximilian Plate Technology at Barracks to increase 2 armor for Landsknecht and Man-at-arms. \r\n- Can Products Legion at Burgrave Palace.  \r\n- Regnitz Cathedral income rate Increases to 200% after Reliquary Technology Researched. \r\n[Ottomans]\r\n- Crown Technology : Highgate Guardian.\r\n- Produces Villagers and Villagers can drop off Resource at Istanbul Imperial Palace, Building Time reduces to 160s. \r\n- Horse Archer can fire in moving.   \r\n- Keep can expands influence area.\r\n[Abbasid Dynasty]\r\n- Crown Technology : Drilling.\r\n- Extra Unit : Mamluk (Keep)\r\n- Extra Unit : Recruit(Outpost) \r\n- Extra Unit : Zamburakchi (Keep)\r\n- Camel Rider Barding applied to Camel Archer.\r\n- Camel Archer can firing when moving. \r\n- Increase the range of influence extension range of keep and outpost to 5.\r\n- The Legion Commander can train at the Captial Town Center at Feudal Age. \r\n[Rus]\r\n- Crown Technology : For the Union!\r\n- Villager gathered food do not need Drop off to camp. \r\n- Streltsy can trigger Fast Marching ability.\r\n- Spasskaya Tower Default Arrow Slot replace to Cannon Slot and Provide unique hero unit.\r\n- Horse Archer can fire in moving. \r\n- Research Technology at Town Center to strengthen Fortified Palisade Wall.\r\n[Delhi Sultanate]\r\n- Crown Technology : Gunpowder Empire\r\n- Extra Unit : Phalangite (Barracks)\r\n- Extra Unit : Devastator (Keep) \r\n- Hisar Academy works faster.  \r\n- Palace of the Sultan Provides Devastator Training for Keep \r\n- Scholar no population required but 25 maximum training.\r\n[Mongols] \r\n- Crown Technology : Logistics\r\n- Extra Unit : Tarkan (Stable)\r\n- Can Build Palisade Wall and Gate after Feudal Age.  \r\n- Keshik Gains +10 vs.Cavalry Bonus Damage.\r\n- Posthouse is Buildable for Products all Units and Legions.\r\n[Malians]\r\n- Crown Technology : Ton-tigui System\r\n- Extra Unit : Supply Cart(Town Center)\r\n- Villagers can drop off Resource at Grand Fulani Corral. Can training cattle at this building.\r\n- Imported Armor applicable to Camel Riders. \r\n[Byzantines]\r\n- Crown Technology : Blast Furnace\r\n- Extra Unit : Flame Thrower(Archery Range)\r\n- Limitanei Sheild Wall damage reduction rate increase to 50%.\r\n- Varangian Guard Gained regeneration and can build Barracks and Mercenary House.  \r\n- Cataphract gained normal charge ability. \r\n- Palatine School can hire Legion Instantly with Olive oil. \r\n- Golden Horn Tower Provides New Units for Archery Range in Imperial Age\r\n[Japanese]\r\n- Crown Technology : Shogunate\r\n- Extra Unit : Sohei(Temple of Equality and Buddhist Temple)\r\n- Onna-Musha can fires on moving. \r\n- Town center upgrade technology cost reduces to 225/400/625.\r\n- Rocket Weapon adjusts damage composition. Castle of the Crow got additional garrison Rocket weapon.\r\n[Zhu Xi's Legacy]\r\n- Crown Technology : Warrior Code \r\n- Extra Unit : Shotgunner(Keep)\r\n- Imperial Official no population required. \r\n- Nest of bees and Firelance series weapon adjusts damage composition. \r\n- Limit of technology can be researched to 4 for Zhu Xi's Library. \r\n- The 10000 bolts secondary arrow of the crossbowman is full of damage.  \r\n[Order of the Dragon]\r\n- Crown Technology :  Discipline/Uprising\r\n- Imperial Gilded Units occupy only 1.5 population. \r\n- Gilded villager do not need Drop off for type all Resource. \r\n- Monks can pick up Relic in feudal age, Able to Training in Town Center.\r\n- Can Products Legion at Burgrave Palace. \r\n- Regnitz Cathedral income rate Increases to 200% after Reliquary Technology Researched. \r\n[Ayyubids]\r\n- Crown Technology : Drilling\r\n- Extra Unit : Mamluk(Keep)\r\n- Extra Unit : Recruit(Outpost) \r\n- Mangonel Flame Bullet Damage increase to 3 from 2.\r\n- Increase the range of influence extension range of keep and outpost to 5.\r\n- The Legion Commander can train at the Captial Town Center at Feudal Age. \r\n[Jeanne d'Arc]\r\n- Crown Technology : Devastating Charge\r\n- Royal bloodlines efficiency increased to 55% \r\n- Merchant Guilds Technology efficiency +100%.\r\n- Cannon Ability Cooldown reduce to 40s. \r\n- Chivalry applicable to all cavalry.\r\n- Strength of Heaven applicable to Siege Units. "
3,,,formatter,,,Increase the range of Gunpowder Units by +%1%.
14,,,screen_name,,,Camel Barding
15,,,formatter,,,Increase the armor of Camel Units by +%1%.
42,,,screen_name,,,For the Union！
43,,,formatter,,,Increase the armor of Rus Infantry and Cavalry Archer by +%1%.
44,,,extra_text,,,For the Union！
45,,,extra_text,,,Melee Infantry Technology
46,,,formatter,,,Increase the armor of Man-at-arms and Spearman by +%1%.
