ID,SourceText,TranslatedText
1,,軍團與軍團長
2,,這是一個圍繞著每個文明的英雄和快速生產軍團進行戰鬥的調整包\r\n歡迎前往 https://github.com/Seicing/aoe4legion 進行反饋\r\n目前支持語言：簡體中文、繁體中文、英文、德語\r\n\r\n【通用】\r\n城鎮中心添加了自動生產村民的便利功能\r\n在大型箭塔(蒙古於驛站)雇傭獨特的軍團混合部隊以及獨特的軍事領袖，並研發王冠科技\r\n在帝王時代的地標城鎮中心研發「王朝崛起」科技，解鎖穩定的石頭收入\r\n大型箭塔和石墻塔成本分別從900/300下調到650/175\r\n各文明都可於靶場或軍團訓練獨特騎射手\r\n火槍兵在研發黑火藥後使用火繩槍進行戰鬥\r\n可以在大型箭塔研發動員令科技，為裝甲步兵和長矛兵增加30點生命值\r\n\r\n【中國】 \r\n- 王冠科技 : 尚武精神 \r\n- 額外單位 : 火箭兵(大型箭塔) \r\n- 一窩蜂火箭和火長矛系列武器調整傷害構成 \r\n- 帝國官員不需要人口\r\n- 煙火技術適用所有火藥部隊 \r\n- 地標(天文鐘樓除外)可擴展帝國學院影響力範圍\r\n- 皇宮可生產禁軍軍團\r\n【法蘭西】\r\n- 王冠科技 : 毀滅沖鋒 \r\n- 皇室血統加成率上調到55%\r\n- 加農炮主動技能冷卻時間下調到40秒\r\n- 商人公會效率調整到3秒1金 \r\n- 騎士精神適用於全部騎兵\r\n【英格蘭】\r\n- 王冠科技 : 百年紫杉木弓\r\n- 圈地效率調整到3秒1金 \r\n- 列王修道院可以作為保存資源的資源點使用，並為大型箭塔提供國王訓練\r\n- 國王每秒自回2生命值，不占用人口，提供移動大型箭塔網絡光環 \r\n- 重裝甲科技適用於裝甲步兵和長矛兵\r\n- 王宮生產單位成本減半\r\n- 溫嘉德宮殿可以生產英格蘭人的軍團，原有的軍團訓練速度提速，並且全部軍團價格會有一定折扣\r\n【神聖羅馬帝國】\r\n- 王冠科技 : 雙薪\r\n- 額外單位 : 長戟兵(取代長矛兵)  \r\n- 僧侶可以在封建時代拾取聖物\r\n- 可在兵營研發馬克西米連板甲給與國土傭仆和裝甲步兵2護甲 \r\n- 可在城主宮殿招募軍團  \r\n- 雷格尼茨大教堂可在帝王時代研發科技進一步增加黃金收入 \r\n【鄂圖曼】\r\n- 王冠科技 : 高門守衛者 \r\n- 伊斯坦堡皇宮可以像城鎮中心一樣生產村民和回收資源，建造時間下調到160秒 \r\n- 大型箭塔可以延長影響力範圍\r\n- 騎射手可以移動射擊 \r\n【阿拔斯王朝】\r\n- 王冠科技 : 操演\r\n- 額外單位 : 馬穆魯克(大型箭塔) \r\n- 額外單位 : 動員兵(哨站) \r\n- 駱駝皮甲適用於駱駝弓兵\r\n- 駱駝弓兵可以移動攻擊\r\n- 城鎮中心、大型箭塔、哨站延伸影響力範圍加大到5格\r\n- 軍團長在封建時代可以在首都城鎮中心招募\r\n【羅斯】\r\n- 王冠科技 : 為了聯盟！ \r\n- 羅斯村民收集食物不需要上交 \r\n- 射手衛隊可以發動原有的快速行軍主動技能\r\n- 斯巴斯克塔基礎射箭槽替換為加農炮炮臺，並提供獨特英雄單位\r\n- 騎射手可以移動射擊\r\n- 於城鎮中心研發科技強化硬木柵欄\r\n【德里蘇丹國】\r\n- 王冠科技 : 火藥帝國\r\n- 額外單位 : 兵方隊(兵營)  \r\n- 蘇丹宮殿和希薩爾學院工作速度加快\r\n- 學者不需要占用人口，但限製生產25個 \r\n【蒙古】\r\n- 王冠科技 : 後勤學 \r\n- 額外單位 : 答剌罕騎兵(馬廄) \r\n- 在時代2後可以建造木墻和木城門 \r\n- 怯薛獲得+10對騎兵傷害\r\n- 可以建造驛站生產所有部隊 \r\n【馬利】\r\n- 王冠科技 : 當·提古伊系統 \r\n- 額外單位 : 補給馬車(城鎮中心) \r\n- 富拉尼大圍欄可以當作食物的存放點使用，並可以生產牛\r\n- 進口護甲適用於駱駝騎兵 \r\n【拜占庭】\r\n- 王冠科技 : 鼓風爐\r\n- 額外單位 : 火焰投擲者(靶場)\r\n- 瓦蘭吉衛隊獲得自回能力，並可以建造兵營和傭兵之家\r\n- 邊防軍盾墻減傷率提高到50% \r\n- 拜占庭聖騎兵獲得常態沖鋒能力 \r\n- 帕拉丁學校可以使用等值的橄欖油瞬間招募軍團 \r\n- 金號角塔為靶場解鎖新兵種 \r\n【日本】\r\n- 王冠科技 : 幕府  \r\n- 額外單位 : 僧兵(平等院和佛寺) \r\n- 女武者可以移動射擊 \r\n- 城鎮中心升級科技石頭成本下調到225/400/625\r\n- 火箭武器傷害構成改變，烏城獲得火箭駐紮武器\r\n【朱熹對後世的影響】 \r\n- 王冠科技 : 尚武精神 \r\n- 額外單位 : 散彈槍兵(大型箭塔) \r\n- 帝國官員不需要人口 \r\n- 一窩蜂火箭和火長矛系列武器調整傷害構成 \r\n- 朱熹書院可研發科技上限為4 \r\n- 一萬支弩矢科技的副箭滿傷害  \r\n【龍騎士團】\r\n- 帝王時代級別的鍍金系列作戰部隊僅占用1.5人口 \r\n- 鍍金村民開采所有資源不需要上交資源點\r\n- 教長可在城鎮中心訓練，可在封建時代回收聖物 \r\n- 可在城主宮殿招募軍團 \r\n- 雷格尼茨大教堂可在帝王時代研發科技進一步增加黃金收入 \r\n【阿育布】\r\n- 王冠科技 : 操演\r\n- 額外單位 : 馬穆魯克(大型箭塔)  \r\n- 額外單位 : 動員兵(哨站) \r\n- 重力投石機火焰彈基礎傷害從2上調到了3\r\n- 城鎮中心、大型箭塔、哨站延伸影響力範圍加大到5格\r\n- 軍團長在封建時代可以在首都城鎮中心招募  \r\n【聖女貞德】\r\n- 王冠科技 : 毀滅沖鋒 \r\n- 皇室血統加成率上調到55%\r\n- 加農炮主動技能冷卻時間下調到40秒\r\n- 商人公會效率調整到3秒1金 \r\n- 騎士精神適用於全部騎兵\r\n- 天堂之力適用於攻城部隊
3,,火藥部隊射程 +%1%
14,,駱駝皮甲
15,,駱駝部隊護甲 +%1%.
42,,為了聯盟！
43,,羅斯步兵部隊和騎射手護甲 +%1%.
44,,For the Union！
45,,近戰步兵科技
46,,裝甲步兵和長矛兵護甲 +%1%.
